City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
101,Severomuysk,RU,2020-06-17 05:12:27,56.15,113.43,280.84,80,100,2.53
102,Souillac,MU,2020-06-17 05:12:27,-20.52,57.52,295.15,78,75,7.2
103,Udachnyy,RU,2020-06-17 05:12:27,66.42,112.4,290.15,38,75,4.0
104,Saskylakh,RU,2020-06-17 05:12:28,71.92,114.08,290.75,42,41,7.68
105,Mosquera,CO,2020-06-17 05:12:28,4.71,-74.23,284.15,93,40,1.0
106,Pangnirtung,CA,2020-06-17 05:12:28,66.15,-65.71,272.61,94,35,0.28
107,Buchanan,LR,2020-06-17 05:12:28,5.88,-10.05,298.08,89,66,2.38
108,Khandyga,RU,2020-06-17 05:12:29,62.67,135.6,300.66,27,26,1.04
109,Castro,BR,2020-06-17 05:08:45,-24.79,-50.01,287.54,92,62,3.92
110,Dasoguz,TM,2020-06-17 05:12:29,41.84,59.97,299.15,24,30,6.2
111,Avera,US,2020-06-17 05:12:30,33.19,-82.53,290.15,82,90,2.1
112,Mago,RU,2020-06-17 05:12:30,53.25,140.18,285.93,61,98,2.12
113,Bethel,US,2020-06-17 05:12:30,41.37,-73.41,286.48,93,1,1.5
114,Yellowknife,CA,2020-06-17 05:08:38,62.46,-114.35,287.15,47,20,6.2
115,Zarubino,RU,2020-06-17 05:12:31,42.63,131.09,291.35,75,65,4.32
116,Saint-Leu,RE,2020-06-17 05:12:31,-21.15,55.28,293.15,77,75,3.1
117,Te Anau,NZ,2020-06-17 05:12:31,-45.42,167.72,279.62,83,100,1.37
118,Dulce Grande,MX,2020-06-17 05:12:32,23.0,-102.17,295.15,37,40,10.3
119,Bluff,NZ,2020-06-17 05:12:32,-46.6,168.33,282.44,71,100,6.66
120,Nanlong,CN,2020-06-17 05:12:32,31.35,106.06,294.75,87,100,2.82
121,Bitung,ID,2020-06-17 05:12:32,1.45,125.18,304.15,70,40,3.1
122,Vardo,NO,2020-06-17 05:12:33,70.37,31.11,280.15,65,75,3.1
123,Novo Mesto,SI,2020-06-17 05:12:33,45.8,15.17,289.26,93,100,1.0
124,Kodiak,US,2020-06-17 05:12:33,57.79,-152.41,284.15,87,90,8.7
125,Miramar,US,2020-06-17 05:12:33,25.99,-80.23,300.37,74,1,3.1
126,Faya,SA,2020-06-17 05:12:33,18.39,42.45,295.15,19,0,2.1
127,Nisia Floresta,BR,2020-06-17 05:12:34,-6.09,-35.21,297.15,88,40,3.1
128,Waihi Beach,NZ,2020-06-17 05:12:34,-37.4,175.93,288.71,80,71,0.45
129,Outjo,NA,2020-06-17 05:12:34,-20.12,16.15,283.99,45,0,5.69
130,Sanlucar De Barrameda,ES,2020-06-17 05:12:34,36.78,-6.35,292.15,82,41,3.6
131,Pisco,PE,2020-06-17 05:12:35,-13.7,-76.22,288.71,82,2,1.5
132,Lazaro Cardenas,MX,2020-06-17 05:12:35,17.96,-102.2,299.41,81,7,1.18
