City_ID,City,Country,Max Temp,Lat,Lng,Current Weather,Hotel Name
188,Bacalar,MX,89.6,18.67,-88.38,broken clouds,Hotel Laguna Bacalar
191,Trincomalee,LK,83.19,8.57,81.23,overcast clouds,Welcombe Hotel
193,Sabzevar,IR,85.95,36.21,57.68,clear sky,پارکینگ وسایل سنگین جنوب
195,Manaure,CO,96.8,11.78,-72.44,broken clouds,Del mar vendra
197,Goderich,CA,84.0,43.75,-81.72,overcast clouds,Harmony Inn
198,Price,US,80.6,39.6,-110.81,clear sky,National 9 - Price River Inn
201,Dunmore Town,BS,81.61,25.5,-76.65,overcast clouds,Coral Sands Hotel
202,Calceta,EC,82.4,-0.85,-80.17,few clouds,"Hostal ""San Placido"""
203,Bam,IR,92.48,29.11,58.36,broken clouds,Bam Tourist Hotel
209,Bilma,NE,92.59,18.69,12.92,broken clouds,Expeditions Ténére voyages
212,Saint-Georges,GD,86.0,12.06,-61.75,scattered clouds,Radisson Grenada Beach Resort
214,Le Vauclin,MQ,86.0,14.55,-60.84,broken clouds,Hôtel Cap Macabou
220,Nimaparha,IN,82.4,20.07,86.02,haze,Maa Karanjai Sweet And Hotel 🏨
221,Lokoja,NG,80.37,7.8,6.74,broken clouds,Hotel Charvid
224,Pauini,BR,89.13,-7.71,-66.98,clear sky,Casa do Kiwliks
228,Marsh Harbour,BS,82.0,26.54,-77.06,broken clouds,Abaco Beach Resort
230,Sakakah,SA,84.2,29.97,40.21,clear sky,Fakhamat Al Orjoana Apartment
231,Alpena,US,82.4,45.06,-83.43,overcast clouds,Big Bear Lodge
233,Bandar-E Lengeh,IR,88.38,26.56,54.88,clear sky,Golestan Motel
240,Puerto Narino,CO,89.6,-3.77,-70.38,scattered clouds,Eware Refugio Amazonico
251,Alta Floresta,BR,93.2,-9.88,-56.09,few clouds,Floresta Amazonica Hotel
254,Bud,US,89.6,39.45,-86.18,clear sky,Madsion Scouts Camp
255,Santa Cruz,BO,86.0,-17.8,-63.17,scattered clouds,Hotel Cortez
257,Baghdad,IQ,89.6,33.34,44.4,clear sky,Baghdad Hotel
270,Aquiraz,BR,86.0,-3.9,-38.39,scattered clouds,Pousada Rua Camurupim
