City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather,Rainfall over last hr (inches),Snowfall over last hr (inches)
83,Kilindoni,TZ,-7.91,39.67,79.34,74,52,18.75,broken clouds,0.0,0.0
84,Grindavik,IS,63.84,-22.43,53.6,81,75,24.16,broken clouds,0.0,0.0
85,Thompson,CA,55.74,-97.86,48.2,93,90,9.17,light intensity drizzle,0.0,0.0
86,Fomboni,KM,-12.28,43.74,75.18,88,100,28.14,moderate rain,1.1,0.0
87,Mitsamiouli,KM,-11.38,43.28,76.64,82,100,19.26,light rain,0.4,0.0
88,Jacqueville,CI,5.21,-4.41,80.6,83,20,11.41,few clouds,0.0,0.0
89,Rypefjord,NO,70.63,23.67,44.6,87,0,8.05,clear sky,0.0,0.0
90,San Andres,CO,12.58,-81.7,86.0,79,40,17.22,scattered clouds,0.0,0.0
91,Lasa,IT,46.62,10.7,57.2,62,40,10.29,scattered clouds,0.0,0.0
92,Mar Del Plata,AR,-38.0,-57.56,55.99,71,100,3.36,overcast clouds,0.0,0.0
93,Acarau,BR,-2.89,-40.12,81.59,78,4,13.04,light rain,0.2,0.0
94,Dabakala,CI,8.37,-4.43,76.93,79,46,2.59,scattered clouds,0.0,0.0
95,Dhankuta,NP,26.98,87.33,69.35,93,6,3.06,moderate rain,1.5,0.0
96,Iskateley,RU,67.68,53.15,41.45,90,100,24.0,light rain,0.5,0.0
97,Pilar,BR,-9.6,-35.96,80.6,69,40,16.11,scattered clouds,0.0,0.0
98,Cidreira,BR,-30.18,-50.21,69.71,89,60,1.74,light rain,0.8,0.0
99,Igarka,RU,67.47,86.58,44.15,82,21,12.88,few clouds,0.0,0.0
100,Canutama,BR,-6.53,-64.38,91.4,44,48,4.14,scattered clouds,0.0,0.0
101,Clyde River,CA,70.47,-68.59,39.2,93,20,12.75,few clouds,0.0,0.0
102,Nouakchott,MR,18.09,-15.98,77.0,88,0,10.29,clear sky,0.0,0.0
103,Surt,LY,31.21,16.59,73.13,77,0,15.23,clear sky,0.0,0.0
104,Port Alfred,ZA,-33.59,26.89,64.99,50,18,5.99,few clouds,0.0,0.0
